layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L4,O60427,236,11800,51.0000,19.9934,0.9998,1.0000,1.0000
L4,O75747,229,11450,51.0000,19.9983,0.9999,1.0000,1.0000
L4,O75909,169,8450,49.8276,19.7610,0.9839,0.9898,0.9724
L4,O88634,66,3300,51.0000,19.9172,0.9998,1.0000,1.0000
L4,O94782,406,20300,51.0000,19.9373,0.9988,0.9983,0.9973
L4,O95835,73,3650,51.0000,19.3636,0.9885,0.9875,0.9737
L4,P08546,82,4100,51.0000,19.9143,0.9998,1.0000,1.0000
L4,P09246,80,4000,51.0000,20.0000,0.9998,1.0000,1.0000
L4,P09871,421,21050,51.0000,19.9916,0.9999,1.0000,1.0000
L4,P0AES4,133,6650,51.0000,19.6500,0.9920,0.9939,0.9840
L4,P11166,69,3450,51.0000,18.5455,0.9685,0.9675,0.9322
L4,P14060,74,3700,51.0000,19.9683,0.9999,1.0000,1.0000
L4,P14416,320,16000,49.7561,19.5625,0.9712,0.9914,0.9435
L4,P16788,454,22700,50.5603,19.9948,0.9943,0.9999,0.9898
L4,P17927,69,3450,51.0000,19.9943,0.9895,0.9998,0.9858
L4,P17948,94,4700,51.0000,17.8500,0.9237,0.9645,0.8682
L4,P19525,181,9050,51.0000,19.7597,0.9948,0.9941,0.9894
L4,P20648,112,5600,51.0000,19.9720,0.9999,1.0000,1.0000
L4,P21917,65,3250,51.0000,18.1265,0.9103,0.9504,0.8492
L4,P22001,351,17550,51.0000,19.9788,0.9980,1.0000,1.0000
L4,P24864,68,3400,51.0000,19.3448,0.9869,0.9784,0.9705
L4,P25929,102,5100,51.0000,19.9310,0.9969,1.0000,1.0000
L4,P28223,1200,60000,50.4167,19.8667,0.9892,0.9966,0.9824
L4,P30990,76,3800,51.0000,19.9794,0.9992,1.0000,1.0000
L4,P34969,101,5050,50.0192,18.3837,0.9460,0.9817,0.9028
L4,P35462,109,5450,50.0893,18.7122,0.9456,0.9524,0.9027
L4,P37840,115,5750,51.0000,19.9490,0.9996,1.0000,1.0000
L4,P50052,214,10700,51.0000,19.8956,0.9978,0.9992,0.9956
L4,P52429,81,4050,51.0000,19.9565,0.9986,1.0000,1.0000
L4,P54278,85,4250,51.0000,19.9770,1.0000,1.0000,1.0000
L4,P57059,84,4200,51.0000,19.4512,0.9853,0.9825,0.9698
L4,Q03164,268,13400,50.6507,19.9825,0.9741,0.9999,0.9930
L4,Q08211,707,35350,51.0000,19.9983,1.0000,1.0000,0.9999
L4,Q08828,68,3400,51.0000,19.6379,0.9911,0.9907,0.9857
L4,Q10469,171,8550,51.0000,19.9565,0.9549,1.0000,1.0000
L4,Q13191,1232,61600,50.5946,19.9812,0.9847,0.9995,0.9844
L4,Q13233,58,2900,51.0000,19.6419,0.9926,0.9844,0.9831
L4,Q13535,477,23850,50.7910,19.9893,0.9985,1.0000,0.9979
