model,layer,uniprot,n_molecules,order_used
hypseek_rk,L2,P51532,4181,lmdb
hypseek_rk,L2,P51617,2191,lmdb
hypseek_rk,L2,P51813,2139,lmdb
hypseek_rk,L2,P52333,36948,lmdb
hypseek_rk,L2,P52895,612,lmdb
hypseek_rk,L2,P53350,5449,lmdb
hypseek_rk,L2,P53396,3008,lmdb
hypseek_rk,L2,P53634,21144,lmdb
hypseek_rk,L2,P53667,3159,lmdb
hypseek_rk,L2,P53671,3363,lmdb
hypseek_rk,L2,P53779,3310,lmdb
hypseek_rk,L2,P54646,712,lmdb
hypseek_rk,L2,P55055,611,lmdb
hypseek_rk,L2,P56373,1377,lmdb
hypseek_rk,L2,P56524,866,lmdb
hypseek_rk,L2,P56817,17932,lmdb
hypseek_rk,L2,P61073,2651,lmdb
hypseek_rk,L2,P61964,2599,lmdb
hypseek_rk,L2,P62937,5143,FAIL
hypseek_rk,L2,P68400,11258,lmdb
hypseek_rk,L2,P69996,560,lmdb
hypseek_rk,L2,P78527,32194,lmdb
hypseek_rk,L2,P80192,2956,lmdb
hypseek_rk,L2,P80457,1581,lmdb
hypseek_rk,L2,P97612,611,lmdb
hypseek_rk,L2,P98170,10684,FAIL
hypseek_rk,L2,P9WGR1,608,lmdb
hypseek_rk,L2,Q00534,55593,FAIL
hypseek_rk,L2,Q00535,2037,lmdb
hypseek_rk,L2,Q00536,1731,lmdb
hypseek_rk,L2,Q00960,3516,lmdb
hypseek_rk,L2,Q00987,3311,lmdb
hypseek_rk,L2,Q01064,35350,lmdb
hypseek_rk,L2,Q01959,1274,lmdb
hypseek_rk,L2,Q02127,5506,lmdb
hypseek_rk,L2,Q02750,662,lmdb
